Country,Year,Variable,Value
Nigeria,2023,Government_Debt,48.673
Nigeria,2023,Trade_Balance,1.655
Angola,2024,GDP_Growth,4.503
Angola,2024,Capital_Formation,33.388
Angola,2024,Inflation,28.232
Angola,2024,Government_Debt,62.501
Angola,2024,Trade_Balance,5.414
DRC,2024,GDP_Growth,6.483
DRC,2024,Capital_Formation,14.208
DRC,2024,Inflation,17.653
DRC,2024,Government_Debt,19.31
DRC,2024,Trade_Balance,-4.075
Ghana,2024,GDP_Growth,5.685
Ghana,2024,Capital_Formation,9.957
Ghana,2024,Inflation,22.875
Ghana,2024,Government_Debt,70.508
Ghana,2024,Trade_Balance,1.596
Nigeria,2024,GDP_Growth,3.426
Nigeria,2024,Capital_Formation,30.583
Nigeria,2024,Inflation,33.242
Nigeria,2024,Government_Debt,52.9
Nigeria,2024,Trade_Balance,9.144
Morocco,2000,GDP_Growth,1.593
Morocco,2000,Capital_Formation,21.846
Morocco,2000,Inflation,1.832
